Suburb,Latitude,Longitude
Abbotsbury,-33.8692846,150.8667029
Abbotsford,-33.8505529,151.129759
Acacia Gardens,-33.7324595,150.9125321
Agnes Banks,-33.6145082,150.7114482
Airds,-34.09,150.8261111
Alexandria,-33.9091568,151.1921281
Alfords Point,-33.9839091,151.0241615
Allambie Heights,-33.7705067,151.249675
Allawah,-33.9696293,151.1142847
Ambarvale,-34.0844252,150.8017477
Annandale,-33.881224,151.1709976
Annangrove,-33.6574838,150.9460077
Arcadia,-33.6227289,151.0605602
Arncliffe,-33.938236,151.145508
Arndell Park,-33.79,150.8761111
Artarmon,-33.8094124,151.1857609
Ashbury,-33.9001107,151.1180724
Ashcroft,-33.915,150.9011111
Ashfield,-33.8894781,151.1274125
Asquith,-33.6871935,151.1110257
Auburn,-33.8545702,151.0255673
Austral,-33.9282672,150.8082824
Avalon Beach,-33.6365039,151.3290299
Badgerys Creek,-33.9042169,150.7202822
Balgowlah,-33.7944424,151.2608261
Balgowlah Heights,-33.807495,151.2649923
Balmain,-33.8583992,151.1807353
Balmain East,-33.8571789,151.192354
Bangor,-34.0155034,151.0334872
Banksia,-33.9448646,151.1402066
Banksmeadow,-33.9542459,151.2157073
Bankstown,-33.9171897,151.0335881
Bankstown Aerodrome,-33.9235,150.9901
Barangaroo,-33.8614084,151.2016877
Barden Ridge,-34.0311727,151.0105268
Bardia,-33.9763948,150.8604327
Bardwell Park,-33.9355556,151.1238889
Bardwell Valley,-33.937452,151.1304335
Bass Hill,-33.8986251,150.9974484
Baulkham Hills,-33.7611198,150.9914041
Bayview,-33.6576847,151.2866735
Beacon Hill,-33.751787,151.2600828
Beaconsfield,-33.9114691,151.200315
Beaumont Hills,-33.6997222,150.9405556
Beecroft,-33.7497631,151.0657475
Belfield,-33.9045165,151.0860013
Bella Vista,-33.7416936,150.9547183
Bellevue Hill,-33.8797123,151.2561988
Belmore,-33.9194073,151.0878936
Belrose,-33.730009,151.2191438
Berala,-33.8753943,151.0343253
Berkshire Park,-33.6816667,150.7844444
Berowra,-33.6264261,151.1473881
Berowra Creek,-33.7109343,151.0640894
Berowra Heights,-33.6095775,151.1373221
Berowra Waters,-33.5994177,151.1229517
Berrilee,-33.6127484,151.1055143
Beverley Park,-33.9787995,151.1316285
Beverly Hills,-33.9497444,151.0817342
Bexley,-33.9523543,151.1181427
Bexley North,-33.9425365,151.1152081
Bickley Vale,-34.0789563,150.6617103
Bidwill,-33.7319476,150.823408
Bilgola Beach,-33.6443165,151.324484
Bilgola Plateau,-33.6438092,151.315858
Birchgrove,-33.8507685,151.1830352
Birrong,-33.8918622,151.0201957
Blackett,-33.7372232,150.815
Blacktown,-33.7739882,150.9036186
Blair Athol,-34.0627778,150.7997222
Blairmount,-34.0483333,150.7927778
Blakehurst,-33.9898519,151.1085596
Bligh Park,-33.6383333,150.7980556
Bondi,-33.8930556,151.2633333
Bondi Beach,-33.8906977,151.2724119
Bondi Junction,-33.8930034,151.2501228
Bonnet Bay,-34.0101087,151.053572
Bonnyrigg,-33.8936698,150.888281
Bonnyrigg Heights,-33.8912101,150.8695795
Bossley Park,-33.8622222,150.8844444
Botany,-33.947829,151.1990644
Bow Bowing,-34.0161463,150.8405606
Box Hill,-33.6425,150.8988889
Bradbury,-34.0816667,150.8177778
Breakfast Point,-33.8422769,151.1111054
Brighton-Le-Sands,-33.9580947,151.1526052
Bringelly,-33.9393505,150.7309705
Bronte,-33.9042128,151.2637774
Brooklyn,-33.5469129,151.2265249
Brookvale,-33.7628854,151.2707024
Bundeena,-34.0845443,151.1512348
Bungarribee,-33.7822832,150.86499
Burraneer,-34.0644603,151.1377905
Burwood,-33.8784753,151.104049
Burwood Heights,-33.8894444,151.1038889
Busby,-33.915,150.8844444
Cabarita,-33.8475029,151.1158878
Cabramatta,-33.8983188,150.9344502
Cabramatta West,-33.8916949,150.914639
Caddens,-33.773603,150.7288643
Cambridge Gardens,-33.7377967,150.7205556
Cambridge Park,-33.7501365,150.7269025
Camden,-34.0532323,150.6961705
Camden South,-34.0829554,150.6966472
Camellia,-33.8197799,151.0346488
Cammeray,-33.8222738,151.2139868
Campbelltown,-34.0636914,150.8206159
Camperdown,-33.8896116,151.1800986
Campsie,-33.9143894,151.1032133
Canada Bay,-33.8646692,151.1151554
Canley Heights,-33.8816667,150.9261111
Canley Vale,-33.8871356,150.9462342
Canoelands,-33.4990952,151.0807415
Canterbury,-33.9130231,151.1170149
Caringbah,-34.0354477,151.1248018
Caringbah South,-34.0554491,151.1205937
Carlingford,-33.7744947,151.0475215
Carlton,-33.9707904,151.1213704
Carnes Hill,-33.9378294,150.8504602
Carramar,-33.8838889,150.9636111
Cartwright,-33.9250864,150.8913549
Castle Cove,-33.7865285,151.2143187
Castle Hill,-33.7315318,151.0071718
Castlecrag,-33.8003455,151.2197795
Castlereagh,-33.6647962,150.6844521
Casula,-33.9522222,150.8952778
Catherine Field,-33.9926657,150.7650245
Cattai,-33.5482394,150.9164045
Cawdor,-34.0996474,150.6726512
Cecil Hills,-33.89,150.8511111
Cecil Park,-33.8922547,150.8135524
Centennial Park,-33.8977778,151.2338889
Central Business District,,
Chatswood,-33.7944797,151.1818571
Chatswood West,-33.7960029,151.1597081
Cheltenham,-33.7569444,151.0775
Cherrybrook,-33.7227778,151.0461111
Chester Hill,-33.8816667,151.0011111
Chifley,-33.9702813,151.2394867
Chippendale,-33.8863291,151.1998211
Chipping Norton,-33.919687,150.9630711
Chiswick,-33.8498337,151.1378781
Chullora,-33.8925,151.0477778
Church Point,-33.6500957,151.2853102
Clarendon,-33.6105511,150.7888909
Clareville,-33.6320071,151.3145323
Claymore,-34.0469444,150.81
Clemton Park,-33.9258322,151.1029075
Clovelly,-33.9126387,151.2617904
Clyde,-33.833532,151.0218891
Coasters Retreat,-33.6048099,151.2988042
Cobbitty,-33.896256199999996,151.1007201558444
Colebee,-33.7270077,150.8521783
Collaroy,-33.7382194,151.2996618
Collaroy Plateau,-33.7303841,151.2910394
Colyton,-33.7822222,150.7958333
Como,-34.0032179,151.0631257
Concord,-33.8556716,151.1067667
Concord West,-33.843168,151.0920563
Condell Park,-33.9227852,151.0113144
Connells Point,-33.9869476,151.0942725
Constitution Hill,-33.7952082,150.9727813
Coogee,-33.9217004,151.2557975
Cornwallis,-33.59,150.8094444
Cottage Point,-33.6195161,151.203318
Cowan,-33.5888297,151.1698568
Cranebrook,-33.7048583,150.70641
Cremorne,-33.8260081,151.2254326
Cremorne Point,-33.8409547,151.2279762
Cromer,-33.7385227,151.2762995
Cronulla,-34.0575259,151.1523851
Crows Nest,-33.8255649,151.2036095
Croydon,-33.8777935,151.1156502
Croydon Park,-33.8975316,151.1024641
Cumberland Reach,,
Curl Curl,-33.7698341,151.2898175
Currans Hill,-34.0463519,150.7712456
Currawong Beach,-33.5952267,151.2987319
Daceyville,-33.9289328,151.2251839
Dangar Island,-33.5387077,151.239494
Darling Point,-33.8730723,151.2376378
Darlinghurst,-33.8783381,151.219225
Darlington,-33.890862,151.1932156
Davidson,-33.7398592,151.1942222
Dawes Point,-33.8572223,151.2067756
Dean Park,-33.7328296,150.852577
Dee Why,-33.7536635,151.2899954
Denham Court,-33.9813889,150.8294444
Denistone,-33.7989066,151.0887
Denistone East,-33.7962842,151.0982887
Denistone West,-33.8005739,151.0767642
Dharruk,-33.7480556,150.8147222
Dolans Bay,-34.0644424,151.1282277
Dolls Point,-33.9936111,151.1447222
Doonside,-33.7549501,150.8685985
Double Bay,-33.8766373,151.24245
Dover Heights,-33.8739831,151.2810366
Drummoyne,-33.8520678,151.153689
Duffys Forest,-33.6733265,151.1927796
Dulwich Hill,-33.9045849,151.1386091
Dundas,-33.802949,151.0440587
Dundas Valley,-33.7936744,151.0559069
Dural,-33.6876398,151.0267199
Eagle Vale,-34.0377778,150.8111111
Earlwood,-33.9247222,151.1313889
East Gordon,-33.7553899,151.1518099
East Hills,-33.960853,150.9879189
East Killara,-33.7554823,151.1811998
East Kurrajong,-33.515,150.7677778
East Lindfield,-33.7681132,151.1883362
East Ryde,-33.8097017,151.1353884
Eastern Creek,-33.6750568,150.8533885
Eastgardens,-33.9447657,151.2250921
Eastlakes,-33.9310733,151.2113667
Eastwood,-33.79,151.0844444
Ebenezer,-33.5166293,150.8874434
Edensor Park,-33.8802849,150.8762602
Edgecliff,-33.8797692,151.2361116
Edmondson Park,-33.9628336,150.8563294
Elanora Heights,-33.6994613,151.2750587
Elderslie,-34.0590289,150.715403
Elizabeth Bay,-33.8716908,151.2282875
Elizabeth Hills,-33.9002288,150.8487942
Ellis Lane,-34.034956,150.6732584
Elvina Bay,-33.6377531,151.2802489
Emerton,-33.7477024,150.8043608
Emu Heights,-33.7372235,150.6511051
Emu Plains,-33.7483333,150.6677778
Enfield,-33.8900628,151.0959145
Engadine,-34.0650134,151.0138225
Englorie Park,-34.0806577,150.7950629
Enmore,-33.8996968,151.170986
Epping,-33.7718546,151.0745367
Ermington,-33.8101156,151.0600559
Erskine Park,-33.8086111,150.8013889
Erskineville,-33.9021718,151.1859881
Eschol Park,-34.0316667,150.8011111
Eveleigh,-33.895,151.1913889
Fairfield,-33.8728065,150.9523529
Fairfield East,-33.8747423,150.9721298
Fairfield Heights,-33.8662814,150.9395106
Fairfield West,-33.8689308,150.9243383
Fairlight,-33.7938789,151.2741471
Fiddletown,-33.5569323,151.0844279
Five Dock,-33.8690024,151.1290231
Flemington,-33.8648618,151.0699551
Forest Glen,-33.5483333,151.0177778
Forest Lodge,-33.8805556,151.1783333
Forestville,-33.7620891,151.2150889
Freemans Reach,-33.5632311,150.8024693
Frenchs Forest,-33.7479954,151.2292718
Freshwater,-33.7750987,151.2844815
Galston,-33.6467002,151.0642498
Georges Hall,-33.9101113,150.9879924
Gilead,-34.115,150.7844444
Girraween,-33.7983305,150.9427707
Gladesville,-33.8275,151.1263889
Glebe,-33.8777782,151.1862377
Gledswood Hills,-34.0102826,150.78002
Glen Alpine,-34.09,150.7844444
Glendenning,-33.7483333,150.8511111
Glenfield,-33.9733455,150.8957217
Glenhaven,-33.7027383,151.0008049
Glenmore Park,-33.7887972,150.669496
Glenorie,-33.5658885,150.9927835
Glenwood,-33.7331483,150.928232
Glossodia,-33.5334431,150.7853962
Gordon,-33.7553899,151.1518099
Granville,-33.8345097,151.0060111
Grasmere,-34.0579584,150.6707384
Grays Point,-34.0591451,151.0786995
Great Mackerel Beach,-33.591505,151.2988852
Green Valley,-33.9024601,150.8674187
Greenacre,-33.9022902,151.058546
Greendale,-33.9150012,150.6677734
Greenfield Park,-33.8752778,150.8919444
Greenhills Beach,-34.0360657,151.1632914
Greenwich,-33.8300104,151.1855621
Gregory Hills,-34.0276672,150.7761923
Greystanes,-33.8262187,150.9414378
Grose Vale,-33.5764147,150.6552959
Grose Wold,-33.6030113,150.6745178
Guildford,-33.8561049,150.9939232
Guildford West,-33.8483084,150.9657421
Gymea,-34.0341447,151.085653
Gymea Bay,-34.0522918,151.0970783
Haberfield,-33.8794325,151.1391605
Hammondville,-33.9511518,150.9608619
Harrington Park,-34.0247325,150.7422344
Hassall Grove,-33.7316667,150.8344444
Haymarket,-33.8814408,151.2044524
Heathcote,-34.0848266,151.007392
Hebersham,-33.7455739,150.8253839
Heckenberg,-33.9077778,150.8913889
Henley,-33.8423815,151.1360364
Hillsdale,-33.9529465,151.2274123
Hinchinbrook,-33.9159661,150.8645957
Hobartville,-33.604718,150.7436152
Holroyd,-33.8297155,150.9974898
Holsworthy,-33.9597307,150.9502719
Homebush,-33.860451,151.0806118
Horningsea Park,-33.9460804,150.8432271
Hornsby,-33.6980331,151.0957334
Hornsby Heights,-33.6589881,151.098374
Horsley Park,-33.8387723,150.8484629
Hoxton Park,-33.9294022,150.8560164
Hunters Hill,-33.8336171,151.1449446
Huntingwood,-33.797973,150.881592
Huntleys Cove,-33.8383333,151.1375
Huntleys Point,-33.8422131,151.1419664
Hurlstone Park,-33.91,151.1286111
Hurstville,-33.960707,151.1003611
Hurstville Grove,-33.9775526,151.0929579
Illawong,-33.9973348,151.0429726
Ingleburn,-33.9983333,150.8511111
Ingleside,-33.6882558,151.2525009
Jamisontown,-33.7679769,150.674815
Jannali ,-34.0163159,151.0658096
Kangaroo Point,-34.002073,151.0967132
Kareela,-34.0157553,151.0812662
Kearns,-34.0233333,150.8011111
Kellyville Ridge,-33.7025,150.9186111
Kemps Creek,-33.8721433,150.7938975
Kensington,-33.9117191,151.2195058
Kenthurst,-33.6436678,150.9761716
Kentlyn,-34.0591667,150.8697222
Killara,-33.7660606,151.1601121
Killarney Heights,-33.7724836,151.221976
Kings Langley,-33.7505506,150.9372174
Kings Park,-33.7433333,150.9086111
Kingsford,-33.9215922,151.2272307
Kingsgrove,-33.9371844,151.0996523
Kingswood,-33.7613772,150.7213283
Kingswood Park,-33.7613772,150.7213283
Kirkham,-34.0351341,150.711839
Kirrawee,-34.0344781,151.0726428
Kirribilli,-33.8476659,151.2158138
Kogarah,-33.968226,151.1354509
Kogarah Bay,-33.9816792,151.1239702
Ku-ring-gai Chase,-33.6502778,151.2008333
Kurmond,-33.5483333,150.701111
Kurnell,-34.0222379,151.1880555
Kurraba Point,-33.8415873,151.223028
Kurrajong,-33.5532572,150.6677058
Kurrajong Hills,-33.5420672,150.6483995
Kyeemagh,-33.9492195,151.1607373
Kyle Bay,-33.9897577,151.0992166
La Perouse,-33.9887589,151.2318011
Lakemba,-33.9196311,151.0749236
Lalor Park,-33.7649937,150.9288833
Lane Cove,-33.8160672,151.1678195
Lane Cove North,-33.8059265,151.1617117
Lane Cove West,-33.8119396,151.150078
Lansdowne,-33.8948687,150.9740821
Lansvale,-33.9003985,150.9510782
Laughtondale,-33.4224715,151.0267219
Lavender Bay,-33.8432002,151.2074155
Leets Vale,-33.4316667,150.9511111
Leichhardt,-33.8819328,151.155867
Len Waters Estate,-33.9146,150.8532
Leonay,-33.7650058,150.6511051
Leppington,-33.9543857,150.80806378606871
Lethbridge Park,-33.7386041,150.8014499
Leumeah,-34.0543113,150.8371354
Lewisham,-33.8953868,151.1466449
Liberty Grove,-33.8413889,151.0838889
Lidcombe,-33.8630649,151.0456771
Lilli Pilli,-34.0680729,151.1159938
Lilyfield,-33.8709879,151.1616185
Lindfield,-33.7802907,151.1595848
Linley Point,-33.8272222,151.15
Little Bay,-33.9834309,151.2470329
Liverpool,-33.9198252,150.92566
Llandilo,-33.715,150.7511111
Loftus,-34.0434357,151.0504559
Londonderry,-33.6483333,150.7344444
Long Point,-34.0156584,150.8983181
Longueville,-33.8291667,151.1686111
Lovett Bay,-33.6325997,151.2763618
Lower Portland,-33.9807907,151.1176769
Lucas Heights,-34.0400221,150.9986588
Luddenham,-33.8779831,150.6901151
Lugarno,-33.9823958,151.0450193
Lurnea,-33.9358333,150.8972222
Macquarie Fields,-33.9904477,150.8849303
Macquarie Links,-33.9816667,150.8733333
Macquarie Park,-33.7814961,151.1256747
Maianbar,-34.0783413,151.1303571
Malabar,-33.9629779,151.2480171
Manly,-33.8038504,151.2908235
Manly Vale,-33.7830838,151.2659938
Maraylya,-33.5913984,150.9221281
Marayong,-33.7491667,150.8919444
Maroota,-33.4577956,150.9829191
Maroubra,-33.9453441,151.2456824
Marrickville,-33.9103854,151.1556908
Marsden Park,-33.6956552,150.8147975
Marsfield,-33.7777956,151.1032015
Mascot,-33.9289562,151.1951782
Matraville,-33.9639325,151.2334198
Mays Hill,-33.8205758,150.9884915
McCarrs Creek,-33.6432304,151.2775346
McGraths Hill,-33.615,150.8344444
McMahons Point,-33.8443387,151.2027957
Meadowbank,-33.8174993,151.0884249
Melrose Park,-33.8153435,151.0733298
Menai,-34.014811,151.0164823
Menangle Park,-34.1034092,150.7468493
Merrylands,-33.8350765,150.9860379
Merrylands West,-33.8359501,150.9681261
Middle Cove,-33.7927992,151.2112471
Middle Dural,-33.6367412,151.0127369
Middleton Grange,-33.9147154,150.8423882
Miller,-33.9205556,150.8805556
Millers Point,-33.8599129,151.2041274
Milperra,-33.9388237,150.9846424
Milsons Passage,-33.5157613,151.1768241
Milsons Point,-33.8471255,151.2115234
Minchinbury,-33.7866731,150.8272222
Minto,-34.0316667,150.8511111
Minto Heights,-34.0379407,150.8715274
Miranda,-34.0335434,151.1037193
Mona Vale,-33.6769931,151.3029577
Monterey,-33.9720137,151.1480392
Moore Park,-33.8958333,151.2219444
Moorebank,-33.9332633,150.949686
Morning Bay,-33.628361,151.2879035
Mortdale,-33.9672997,151.0721865
Mortlake,-33.8410416,151.1061114
Mosman,-33.8301355,151.2447663
Mount Annan,-34.0782799,150.7632296
Mount Colah,-33.6719686,151.1145291
Mount Druitt,-33.7705556,150.8205556
Mount Kuring-Gai,-33.6530641,151.1368864
Mount Pritchard,-33.9027189,150.9031488
Mount Vernon,-33.8566667,150.8094444
Mulgoa,-33.8371562,150.6504013
Mulgrave,-33.627219,150.8316603
Narellan Vale,-34.0524175,150.7446725
Naremburn,-33.8171309,151.2020304
Narrabeen,-33.7135699,151.2978164
Narraweena,-33.7502066,151.2741566
Narwee,-33.9455556,151.0694444
Nelson,-33.6478291,150.9213361
Neutral Bay,-33.8342887,151.2182049
Newington,-33.8342301,151.0558716
Newport,-33.6591061,151.3164331
Newtown,-33.8961132,151.1801893
Normanhurst,-33.7238649,151.0977351
North Balgowlah,-33.7881457,151.2507285
North Bondi,-33.882351,151.2768611
North Curl Curl,-33.7630002,151.2904773
North Epping,-33.7586111,151.0941667
North Kellyville,-33.6859488,150.9535842
North Manly,-33.7729035,151.2707221
North Narrabeen,-33.70098,151.2936426
North Parramatta,-33.7952747,151.0116649
North Richmond,-33.5750113,150.7056842
North Rocks,-33.7713052,151.020996
North Ryde,-33.7975472,151.127306
North St Ives,-33.715,151.1677778
North St Marys,-33.7544444,150.7858333
North Strathfield,-33.8588178,151.088578
North Sydney,-33.8354519,151.2083011
North Turramurra,-33.6911595,151.1519372
North Willoughby,-33.7941912,151.2004163
North Wahroonga,-33.7024148,151.1283034
Northbridge,-33.8111111,151.2175
Northmead,-33.7844423,150.9983289
Northwood,-33.827964,151.1782693
Norwest,-33.733048,150.964298
Oakhurst,-33.7372222,150.8347222
Oakville,-33.6256687,150.8722092
Oatlands,-33.7973385,151.0256526
Oatley,-33.9841882,151.0743856
Old Guildford,-33.8636111,150.9844444
Old Toongabbie,-33.7858548,150.9699533
Oran Park,-33.9948805,150.7402568
Orchard Hills,-33.7816667,150.7177778
Oxford Falls,-33.7335222,151.2449266
Oxley Park,-33.7705556,150.795
Oyster Bay,-34.0032775,151.0812354
Paddington,-33.8841572,151.2272766
Padstow,-33.9487767,151.030116
Padstow Heights,-33.9704029,151.0330262
Pagewood,-33.936838,151.2216943
Palm Beach,-33.6005473,151.3231536
Panania,-33.9532567,150.9968874
Parklea,-33.725,150.9161111
Parramatta,-33.8175113,151.0054009
Peakhurst,-33.9616444,151.0590667
Peakhurst Heights,-33.9768872,151.0544039
Pemulwuy,-33.8164641,150.9284441
Pendle Hill,-33.7983305,150.959439
Pennant Hills,-33.7384663,151.0716639
Penrith,-33.7510792,150.6941684
Penshurst,-33.9648292,151.0849525
Petersham,-33.8945061,151.1554222
Phillip Bay,-33.9787887,151.2327229
Picnic Point,-33.9709556,151.0072387
Pitt Town,-33.5846533,150.8709805
Pitt Town Bottoms,-33.5872298,150.8449827
Pleasure Point,-33.9725,150.9877778
Plumpton,-33.7566667,150.8427778
Point Piper,-33.8676276,151.2515727
Port Botany,-33.9734678,151.2178519
Potts Hill,-33.8922191,151.0329222
Potts Point,-33.8670797,151.2259967
Prairiewood,-33.8631743,150.9055074
Prestons,-33.9415149,150.8747464
Prospect,-33.8002421,150.9218377
Punchbowl,-33.928717,151.0522591
Putney,-33.826067,151.1064224
Pymble,-33.7450185,151.1424708
Pyrmont,-33.8692145,151.1923633
Quakers Hill,-33.7344444,150.8788889
Queens Park,-33.8991667,151.2472222
Queenscliff,-33.7823916,151.2854011
Raby,-34.0233333,150.8177778
Ramsgate,-33.982713,151.1399314
Ramsgate Beach,-33.9824013,151.1461479
Randwick,-33.914121,151.2410046
Redfern,-33.8931044,151.2040292
Regents Park,-33.8820048,151.02569
Regentville,-33.7708351,150.6616622
Revesby,-33.9436876,151.0137191
Revesby Heights,-33.9683842,151.0189891
Rhodes,-33.8290589,151.0873578
Richmond,-33.6009721,150.7496405
Richmond Lowlands,-33.5652,150.7596
Riverstone,-33.6797545,150.8616695
Riverview,-33.823207,151.1600134
Riverwood,-33.9472222,151.0530556
Rockdale,-33.9542619,151.1403655
Rodd Point,-33.8658359,151.143583
Rookwood,-33.8737017,151.0552971
Rooty Hill,-33.7688649,150.8411802
Ropes Crossing,-33.7291948,150.7788889
Rose Bay,-33.8741644,151.265471
Rosebery,-33.9185861,151.204692
Rosehill,-33.8263889,151.0305556
Roselands,-33.9339943,151.0765121
Rosemeadow,-34.1066667,150.7927778
Roseville,-33.7826456,151.1827257
Roseville Chase,-33.7747222,151.2002778
Rossmore,-33.9483365,150.7677747
Rouse Hill,-33.6774941,150.9160933
Royal National Park,-34.11219955,151.02672688004589
Rozelle,-33.8645002,151.1743543
Ruse,-34.0733174,150.8463325
Rushcutters Bay,-33.8750365,151.2276557
Russell Lea,-33.8585361,151.1416007
Rydalmere,-33.8117088,151.0411702
Ryde,-33.8125405,151.1115717
Sackville,-33.4971446,150.8829012
Sackville North,-33.4816597,150.8844376
Sadleir,-33.9169444,150.8902778
Sandringham,-33.9971236,151.1400138
Sandy Point,-33.975407,150.9939195
Sans Souci,-33.9926292,151.1337972
Scheyville,-33.6017926,150.8928527
Schofields,-33.6971603,150.8711915
Scotland Island,-33.6397464,151.2911746
Seaforth,-33.7910792,151.2430284
Sefton,-33.8873088,151.0106256
Seven Hills,-33.7760305,150.9427044
Shalvey,-33.7277778,150.8066667
Shanes Park,-33.7075,150.7916667
Silverwater,-33.834881,151.0471218
Singletons Mill,-33.4648101,151.0738545
Smeaton Grange,-34.0340877,150.7553777
Smithfield,-33.8478215,150.9408736
South Coogee ,-33.9322056,151.2539567
South Hurstville,-33.9777213,151.1060554
South Maroota,-33.5127778,150.9522222
South Penrith,-33.772521,150.6982616
South Turramurra,-33.7510951,151.1084667
South Wentworthville,-33.82134,150.9687481
South Windsor,-33.6302778,150.8041667
Spring Farm,-34.0694444,150.7272284
St Andrews,-34.0208333,150.8305556
St Clair,-33.7983333,150.7844444
St Helens Park,-34.1066667,150.8094444
St Ives,-33.7258869,151.1727212
St Ives Chase,-33.7030556,151.1652778
St Johns Park,-33.8816667,150.9011111
St Leonards,-33.8225666,151.1923402
St Marys,-33.7650204,150.7677778
St Peters,-33.9159472,151.176332
Stanhope Gardens,-33.710284,150.9258277
Stanmore,-33.8936689,151.1656456
Strathfield,-33.8791285,151.0811758
Strathfield South,-33.8966667,151.0788889
Summer Hill,-33.8933952,151.1368729
Surry Hills,-33.8845123,151.2100301
Sutherland,-34.0312587,151.0567639
Sydenham,-33.9147428,151.1661069
Sydney Olympic Park,-33.842903,151.072535
Sylvania,-34.0141205,151.0988161
Sylvania Waters,-34.0185844,151.11228
Tamarama,-33.8987452,151.2710753
Taren Point,-34.0200181,151.1226751
Telopea,-33.7939218,151.0409442
Tempe,-33.9247552,151.1647529
Tennyson,-33.5316667,150.7344444
Tennyson Point,-33.8313822,151.116944
Terrey Hills,-33.6918185,151.2205908
The Ponds,-33.7066667,150.9091667
The Rocks,-33.859992,151.2083216
The Slopes,-33.5342749,150.7041667
Toongabbie,-33.7866894,150.9526498
Tregear,-33.7486957,150.7957569
Turramurra,-33.7354346,151.1300645
Turrella,-33.9302706,151.1409234
Ultimo,-33.8794728,151.1984346
Varroville,-34.0066667,150.8177778
Vaucluse,-33.8558564,151.2761018
Villawood,-33.8857243,150.9837511
Vineyard,-33.6483333,150.8677778
Voyager Point,-33.9586149,150.9738889
Wahroonga,-33.720367,151.1142463
Waitara,-33.7094453,151.1055581
Wakeley,-33.8736111,150.9086111
Wallacia,-33.8653337,150.6409771
Wareemba,-33.8575001,151.1319513
Warrawee,-33.7279732,151.1232279
Warriewood,-33.690306,151.2942716
Warwick Farm,-33.915,150.9344444
Waterfall,-34.1347694,150.9931332
Waterloo,-33.9002762,151.2073137
Watsons Bay,-33.8432736,151.2825736
Wattle Grove,-33.9564013,150.9405862
Waverley,-33.9019365,151.2558816
Waverton,-33.8383333,151.1986892
Wedderburn,-34.1483333,150.8177778
Wentworth Point,-33.8268958,151.0774351
Wentworthville,-33.8066667,150.9677778
Werrington,-33.758666,150.7579617
Werrington County,-33.7469444,150.7486111
Werrington Downs,-33.7413889,150.7322222
West Hoxton,-33.9316667,150.8344444
West Killara,-33.7660606,151.1601121
West Lindfield,-33.7802907,151.1595848
West Pennant Hills,-33.7478359,151.0350621
West Pymble,-33.7646844,151.1318993
West Ryde,-33.8094444,151.0858333
Westleigh,-33.715,151.0677778
Westmead,-33.8076498,150.9877265
Wetherill Park,-33.8483333,150.9011111
Whalan,-33.7566667,150.8094444
Whale Beach,-33.6096795,151.3309449
Wheeler Heights,-33.7286867,151.2806965
Wilberforce,-33.5566667,150.8344444
Wiley Park,-33.9230556,151.0677778
Willmot,-33.7247222,150.7938889
Willoughby,-33.8063889,151.2002778
Willoughby East,-33.7991667,151.2061111
Windsor,-33.6055342,150.821953
Windsor Downs,-33.6566667,150.8094444
Winston Hills,-33.7761098,150.9816606
Wisemans Ferry,-33.3852776,150.9868024
Wolli Creek,-33.9310296,151.1243159
Wollstonecraft,-33.8332039,151.1959273
Woodbine,-34.0468369,150.8242711
Woodcroft,-33.7586111,150.8783333
Woodpark,-33.8413833,150.9602776
Woollahra,-33.8857968,151.2440867
Woolloomooloo,-33.8718758,151.2192218
Woolooware,-34.0448411,151.1401717
Woolwich,-33.8401988,151.1710614
Woronora,-34.1164957,150.9522795
Woronora Heights,-34.034387,151.027167
Yagoona,-33.9037907,151.0176677
Yarramundi,-33.6318172,150.6679956
Yarrawarrah,-34.056681,151.0308884
Yennora,-33.8620079,150.9686096
Yowie Bay,-34.0502778,151.1033333
Zetland,-33.9076623,151.2082183
Jordan Springs,-33.7250215,150.7271271
South Granville,-33.8577778,151.0105556
